Date,City,PM2.5,PM10,SO2,NO2,CO,NO,O3,NH3,AQI
2023-02-24 00:13:16,Meherpur,196.25,261.22,8.82,43.87,1895.91,0.06,12.16,53.2,5
2023-02-24 00:13:17,Narail,90.2,109.54,2.41,5.57,447.27,0,69.38,4.05,5
2023-02-24 00:13:17,Satkhira,80.33,106.84,1.37,1.52,380.52,0,78.68,1.17,5
2023-02-24 10:39:46,Dhaka,88.37,110.94,8.58,14.22,614.17,2.43,87.98,5.57,5
2023-02-24 10:39:46,Faridpur,116.59,137.59,10.85,10.97,741.01,1.69,88.69,4.43,5
2023-02-24 10:39:47,Gazipur,100.21,122.72,8.23,4.88,554.09,0.62,103,5.83,5
2023-02-24 10:39:47,Gopalganj,160.68,191.06,19.07,14.4,1094.82,2.91,94.41,34.45,5
2023-02-24 10:39:48,Jamalpur,198.68,233.5,20.98,13.2,1108.17,2.04,124.45,24.32,5
2023-02-24 10:39:48,Kishoreganj,75.18,90.8,12.76,9.94,527.38,1.75,67.23,4.37,5
2023-02-24 10:39:49,Madaripur,78.32,94.29,5.6,2.83,420.57,0.31,95.84,2.44,5
